"i=2000, j=2, k=2000",,,,,"i=2000, j=4, k=2000",,,,"i=2000, j=8, k=2000",,,,"i=2000, j=16, k=2000",,,,"i=2000, j=32, k=2000",,,,"i=2000, j=64, k=2000",,,,"i=2000, j=128, k=2000",,,,"i=2000, j=256, k=2000",,,,"i=2000, j=512, k=2000",,,,"i=2000, j=1024, k=2000",,,,"i=2000, j=2000, k=2000",,,
P1,,P2,,,P1,,P2,,P1,,P2,,P1,,P2,,P1,,P2,,P1,,P2,,P1,,P2,,P1,,P2,,P1,,P2,,P1,,P2,,P1,,P2,
time,N,time,N,,N,time,n,time,N,time,n,time,N,time,n,time,N,time,n,time,N,time,n,time,N,time,n,time,N,time,n,time,N,time,n,time,N,time,n,time,N,time,n,time
0.063896983,45,0.024668778,45,,45,0.036125846,45,0.037105522,45,0.039534509,45,0.023229377,45,0.048477272,45,0.001029852,45,0.064280637,45,0.102824219,45,0.132848006,45,0.165956776,45,0.198387193,45,0.000904268,45,0.286401777,45,0.508414958,45,0.643471002,45,0.0014466,45,1.767165622,45,0.001877228,45,3.777889345,45,0.002310926
0.014036541,44,0.058709857,44,,44,0.02187867,44,0.070365838,44,0.022897657,44,0.020131895,44,0.027866827,44,0.045045268,44,0.040760264,44,0.089437905,44,0.063024368,44,0.189872932,44,0.128314849,44,0.24653033,44,0.247899795,44,0.000911716,44,0.630257347,44,0.001360555,44,1.738653929,44,0.00081916,44,3.598638269,44,0.001740304
0.022050622,43,0.019367864,43,,43,0.020168893,43,0.02110809,43,0.021569631,43,0.025106523,43,0.023774856,43,0.040645192,43,0.040294133,43,0.062118147,43,0.065343238,43,0.093482197,43,0.124829684,43,0.019065146,43,0.256820941,43,0.001464421,43,0.555267301,43,0.001381842,43,1.628640462,43,0.001366754,43,3.347668661,43,0.001335391
0.019664329,42,0.039258346,42,,42,0.016635202,42,0.05456201,42,0.053796591,42,0.027279968,42,0.018835679,42,0.033653226,42,0.045100222,42,0.00093249,42,0.064362883,42,0.000842092,42,0.127945008,42,0.000827609,42,0.232626033,42,0.001603789,42,0.532264959,42,0.001271538,42,1.601512743,42,0.000846428,42,3.340369892,42,0.454850918
0.006624331,41,0.015597469,41,,41,0.02462417,41,0.036871554,41,0.010460795,41,0.031377477,41,0.030986406,41,0.021895438,41,0.043220812,41,0.021787856,41,0.062076565,41,0.082485118,41,0.118546124,41,0.000765964,41,0.230789968,41,0.00160675,41,0.521505704,41,0.00130321,41,1.57783793,41,0.493123844,41,3.325250843,41,0.000908927
0.020535434,40,0.018509138,40,,40,0.016240472,40,0.037557121,40,0.015967,40,0.033746978,40,0.01964969,40,0.028497707,40,0.038420776,40,0.051921502,40,0.05710271,40,0.001286119,40,0.116070385,40,0.00072375,40,0.219427337,40,0.394845949,40,0.499978388,40,0.349579019,40,1.557041007,40,1.079275288,40,3.381033422,40,0.001647924
0.016399564,39,0.10756491,39,,39,0.017656316,39,0.03802315,39,0.016542748,39,0.043573345,39,0.06039378,39,0.006583186,39,0.038579882,39,0.063702104,39,0.058683534,39,0.000823637,39,0.114086042,39,0.000744157,39,0.216556155,39,0.000848251,39,0.484227298,39,0.001208924,39,1.499496405,39,0.001458681,39,3.050791425,39,0.001023432
0.012156015,38,0.014430979,38,,38,0.020497588,38,0.021743513,38,0.020362548,38,0.02346747,38,0.0219334,38,0.034820038,38,0.042818676,38,0.054524224,38,0.059551899,38,0.058106179,38,0.111491128,38,0.119131347,38,0.210674554,38,0.00074347,38,0.466412785,38,0.000938251,38,1.485260988,38,0.00074405,38,3.333437103,38,0.000863451
0.011940246,37,0.019272766,37,,37,0.01560477,37,0.031532735,37,0.023063501,37,0.01124341,37,0.031046983,37,0.041207332,37,0.037282729,37,0.085566337,37,0.055959242,37,0.000759224,37,0.104562306,37,0.00069311,37,0.207380138,37,0.000720727,37,0.456732261,37,0.001209239,37,1.43721623,37,0.337022287,37,2.996516721,37,0.046392199
0.011909099,36,0.029147379,36,,36,0.020374161,36,0.05374938,36,0.02185197,36,0.021424859,36,0.020482458,36,0.023863838,36,0.050386518,36,0.085089753,36,0.053459741,36,0.00089324,36,0.106835209,36,0.000680914,36,0.201744641,36,0.001215344,36,0.446444771,36,0.083402265,36,1.439183276,36,0.002307539,36,2.769719641,36,0.001046252
0.007968895,35,0.028961303,35,,35,0.021870599,35,0.025648076,35,0.019532777,35,0.035705387,35,0.022905905,35,0.03480614,35,0.044111672,35,0.040960429,35,0.057908342,35,0.140289158,35,0.106663996,35,0.00132168,35,0.20404547,35,0.001029927,35,0.42936661,35,0.001252652,35,1.378111903,35,0.001091228,35,2.580464111,35,0.001907385
0.011890126,34,0.017480667,34,,34,0.017678136,34,0.055939212,34,0.020911555,34,0.012712073,34,0.02134636,34,0.046981507,34,0.053067541,34,0.00059188,34,0.05768312,34,0.124253198,34,0.104458664,34,0.000645201,34,0.189691841,34,0.216127152,34,0.418914583,34,0.000620097,34,1.382953729,34,0.001196108,34,2.880859678,34,0.000715085
0.006966898,33,0.014922304,33,,33,0.024670291,33,0.030963395,33,0.0114572,33,0.034488722,33,0.022379472,33,0.025208207,33,0.031915779,33,0.000503078,33,0.05713132,33,0.001014899,33,0.100005155,33,0.000647562,33,0.189771503,33,0.211030459,33,0.399656392,33,0.000642895,33,1.334005854,33,0.001342982,33,2.642160755,33,0.001161505
0.007423378,32,0.04634874,32,,32,0.008858536,32,0.030796744,32,0.008487509,32,0.022292292,32,0.025694242,32,0.025467841,32,0.031733148,32,0.000505544,32,0.060523556,32,0.000758572,32,0.10102109,32,0.240847236,32,0.176533052,32,0.000891839,32,0.402459987,32,0.001115909,32,1.354396653,32,0.001020257,32,2.537199849,32,0.002124869
0.029444782,31,0.013798305,31,,31,0.0408067,31,0.009385037,31,0.035217039,31,0.012172531,31,0.052233892,31,0.000504249,31,0.043378224,31,0.006700757,31,0.07626556,31,0.015227418,31,0.13428258,31,0.000621387,31,0.25437714,31,0.003757319,31,0.37584045,31,0.196871249,31,1.243324441,31,0.000547474,31,2.560651858,31,0.00125606
0.012448887,30,0.015028022,30,,30,0.0146288,30,0.027539236,30,0.017467476,30,0.029426384,30,0.018023377,30,0.02998282,30,0.029992658,30,0.000720858,30,0.058743664,30,0.000621932,30,0.089027381,30,0.016181039,30,0.166077976,30,0.120390304,30,0.396131459,30,0.000577422,30,0.924123027,30,0.000660524,30,2.378815025,30,0.001207262
0.016599463,29,0.026449696,29,,29,0.030151857,29,0.018448136,29,0.008737046,29,0.023969049,29,0.032812924,29,0.02401627,29,0.042656785,29,0.019055409,29,0.049957382,29,0.039039059,29,0.089497272,29,0.066131351,29,0.160166051,29,0.00056532,29,0.351484667,29,0.000609624,29,0.895817652,29,0.000909751,29,2.200959056,29,0.001530921
0.007483509,28,0.012347799,28,,28,0.018886276,28,0.027070199,28,0.012601979,28,0.007127817,28,0.019972597,28,0.020000413,28,0.032806282,28,0.000644165,28,0.052956666,28,0.000689808,28,0.095848365,28,0.000585656,28,0.164996015,28,0.000538682,28,0.34494834,28,0.001627202,28,0.816358223,28,0.000886295,28,2.147726944,28,0.000633944
0.007269384,27,0.012951427,27,,27,0.008152099,27,0.008340025,27,0.01802417,27,0.030357127,27,0.013944586,27,0.046785436,27,0.025680262,27,0.000467933,27,0.079680148,27,0.000583301,27,0.096758069,27,0.000545928,27,0.149332665,27,0.00070867,27,0.325738133,27,0.000918184,27,0.768217989,27,0.001312179,27,2.217817426,27,0.000869866
0.008107188,26,0.037756704,26,,26,0.007273029,26,0.014172559,26,0.050335381,26,0.039773346,26,0.014705402,26,0.008050972,26,0.02905214,26,0.000415858,26,0.047839981,26,0.000512081,26,0.078661383,26,0.050602878,26,0.144976842,26,0.000540992,26,0.312547434,26,0.000648774,26,0.751710463,26,0.00089519,26,2.329032625,26,0.001029068
0.003875331,25,0.005937497,25,,25,0.00894697,25,0.040125652,25,0.010881388,25,0.002625569,25,0.045506277,25,0.003011615,25,0.023754862,25,0.023511959,25,0.047995557,25,0.026863975,25,0.088580403,25,0.060273273,25,0.150646605,25,0.000568528,25,0.298586161,25,0.000931326,25,0.701614319,25,0.000984036,25,1.910333933,25,0.000982421
0.007603126,24,0.034743739,24,,24,0.007743543,24,0.025521742,24,0.010736417,24,0.052482463,24,0.028083644,24,0.021537174,24,0.021005694,24,0.000408905,24,0.041913479,24,0.029440695,24,0.080950928,24,0.000503643,24,0.136418391,24,0.000588669,24,0.287562455,24,0.000811572,24,0.696458871,24,0.000783287,24,1.851097908,24,0.000916286
